INFO  - 2020-09-12 12:17:27.222; org.eclipse.jetty.server.Server; jetty-8.1.10.v20130312
INFO  - 2020-09-12 12:17:29.679; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/k_mosin/PycharmProjects/mysite/opt/solr/solr-4.10.4/contrib/extraction/lib/xz-1.4.jar' to classloader
INFO  - 2020-09-12 12:17:29.679; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/k_mosin/PycharmProjects/mysite/opt/solr/solr-4.10.4/contrib/extraction/lib/tika-xmp-1.5.jar' to classloader
INFO  - 2020-09-12 12:17:29.680; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/k_mosin/PycharmProjects/mysite/opt/solr/solr-4.10.4/dist/solr-cell-4.10.4.jar' to classloader
INFO  - 2020-09-12 12:17:29.681; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/k_mosin/PycharmProjects/mysite/opt/solr/solr-4.10.4/contrib/clustering/lib/jackson-core-asl-1.9.13.jar' to classloader
INFO  - 2020-09-12 12:17:29.681; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/k_mosin/PycharmProjects/mysite/opt/solr/solr-4.10.4/contrib/clustering/lib/simple-xml-2.7.jar' to classloader
INFO  - 2020-09-12 12:17:29.681; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/k_mosin/PycharmProjects/mysite/opt/solr/solr-4.10.4/contrib/clustering/lib/attributes-binder-1.2.1.jar' to classloader
INFO  - 2020-09-12 12:17:29.682; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/k_mosin/PycharmProjects/mysite/opt/solr/solr-4.10.4/contrib/clustering/lib/hppc-0.5.2.jar' to classloader
INFO  - 2020-09-12 12:17:29.682; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/k_mosin/PycharmProjects/mysite/opt/solr/solr-4.10.4/contrib/clustering/lib/jackson-mapper-asl-1.9.13.jar' to classloader
INFO  - 2020-09-12 12:17:29.682; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/k_mosin/PycharmProjects/mysite/opt/solr/solr-4.10.4/contrib/clustering/lib/mahout-math-0.6.jar' to classloader
INFO  - 2020-09-12 12:17:29.682; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/k_mosin/PycharmProjects/mysite/opt/solr/solr-4.10.4/contrib/clustering/lib/mahout-collections-1.0.jar' to classloader
INFO  - 2020-09-12 12:17:29.683; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/k_mosin/PycharmProjects/mysite/opt/solr/solr-4.10.4/contrib/clustering/lib/carrot2-mini-3.9.0.jar' to classloader
INFO  - 2020-09-12 12:17:29.683; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/k_mosin/PycharmProjects/mysite/opt/solr/solr-4.10.4/dist/solr-clustering-4.10.4.jar' to classloader
INFO  - 2020-09-12 12:17:29.684; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/k_mosin/PycharmProjects/mysite/opt/solr/solr-4.10.4/contrib/langid/lib/langdetect-1.1-20120112.jar' to classloader
INFO  - 2020-09-12 12:17:29.684; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/k_mosin/PycharmProjects/mysite/opt/solr/solr-4.10.4/contrib/langid/lib/jsonic-1.2.7.jar' to classloader
INFO  - 2020-09-12 12:17:29.685; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/k_mosin/PycharmProjects/mysite/opt/solr/solr-4.10.4/dist/solr-langid-4.10.4.jar' to classloader
INFO  - 2020-09-12 12:17:29.685; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/k_mosin/PycharmProjects/mysite/opt/solr/solr-4.10.4/contrib/velocity/lib/commons-beanutils-1.8.3.jar' to classloader
INFO  - 2020-09-12 12:17:29.686; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/k_mosin/PycharmProjects/mysite/opt/solr/solr-4.10.4/contrib/velocity/lib/commons-collections-3.2.1.jar' to classloader
INFO  - 2020-09-12 12:17:29.686; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/k_mosin/PycharmProjects/mysite/opt/solr/solr-4.10.4/contrib/velocity/lib/velocity-1.7.jar' to classloader
INFO  - 2020-09-12 12:17:29.686; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/k_mosin/PycharmProjects/mysite/opt/solr/solr-4.10.4/contrib/velocity/lib/velocity-tools-2.0.jar' to classloader
INFO  - 2020-09-12 12:17:29.687; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/k_mosin/PycharmProjects/mysite/opt/solr/solr-4.10.4/dist/solr-velocity-4.10.4.jar' to classloader
INFO  - 2020-09-12 12:17:29.867; org.apache.solr.update.SolrIndexConfig; IndexWriter infoStream solr logging is enabled
INFO  - 2020-09-12 12:17:29.875; org.apache.solr.core.SolrConfig; Using Lucene MatchVersion: 4.10.4
INFO  - 2020-09-12 12:17:30.021; org.apache.solr.core.SolrConfig; Loaded SolrConfig: solrconfig.xml
INFO  - 2020-09-12 12:17:30.030; org.apache.solr.schema.IndexSchema; Reading Solr Schema from /home/k_mosin/PycharmProjects/mysite/opt/solr/solr-4.10.4/example/solr/collection1/conf/schema.xml
INFO  - 2020-09-12 12:17:30.077; org.apache.solr.schema.IndexSchema; [collection1] Schema name=example
INFO  - 2020-09-12 12:17:30.694; org.apache.solr.schema.IndexSchema; unique key field: id
INFO  - 2020-09-12 12:17:30.708; org.apache.solr.rest.RestManager$Registry; Registered ManagedResource impl org.apache.solr.rest.schema.analysis.ManagedWordSetResource for path /schema/analysis/stopwords/english
INFO  - 2020-09-12 12:17:30.709; org.apache.solr.rest.RestManager$Registry; Registered ManagedResource impl org.apache.solr.rest.schema.analysis.ManagedSynonymFilterFactory$SynonymManager for path /schema/analysis/synonyms/english
INFO  - 2020-09-12 12:17:30.856; org.apache.solr.schema.FileExchangeRateProvider; Reloading exchange rates from file currency.xml
INFO  - 2020-09-12 12:17:30.863; org.apache.solr.schema.FileExchangeRateProvider; Reloading exchange rates from file currency.xml
INFO  - 2020-09-12 12:17:30.957; org.apache.solr.core.CoreContainer; Creating SolrCore 'collection1' using configuration from instancedir /home/k_mosin/PycharmProjects/mysite/opt/solr/solr-4.10.4/example/solr/collection1/
INFO  - 2020-09-12 12:17:30.981; org.apache.solr.core.SolrCore; solr.NRTCachingDirectoryFactory
INFO  - 2020-09-12 12:17:30.990; org.apache.solr.core.SolrCore; [collection1] Opening new SolrCore at /home/k_mosin/PycharmProjects/mysite/opt/solr/solr-4.10.4/example/solr/collection1/, dataDir=/home/k_mosin/PycharmProjects/mysite/opt/solr/solr-4.10.4/example/solr/collection1/data/
INFO  - 2020-09-12 12:17:30.994; org.apache.solr.core.JmxMonitoredMap; No JMX servers found, not exposing Solr information with JMX.
INFO  - 2020-09-12 12:17:30.999; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for newSearcher: org.apache.solr.core.QuerySenderListener{queries=[]}
INFO  - 2020-09-12 12:17:30.999; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for firstSearcher: org.apache.solr.core.QuerySenderListener{queries=[{q=static firstSearcher warming in solrconfig.xml}]}
INFO  - 2020-09-12 12:17:31.019; org.apache.solr.core.CachingDirectoryFactory; return new directory for /home/k_mosin/PycharmProjects/mysite/opt/solr/solr-4.10.4/example/solr/collection1/data
INFO  - 2020-09-12 12:17:31.024; org.apache.solr.core.SolrCore; New index directory detected: old=null new=/home/k_mosin/PycharmProjects/mysite/opt/solr/solr-4.10.4/example/solr/collection1/data/index/
WARN  - 2020-09-12 12:17:31.025; org.apache.solr.core.SolrCore; [collection1] Solr index directory '/home/k_mosin/PycharmProjects/mysite/opt/solr/solr-4.10.4/example/solr/collection1/data/index' doesn't exist. Creating new index...
INFO  - 2020-09-12 12:17:31.038; org.apache.solr.core.CachingDirectoryFactory; return new directory for /home/k_mosin/PycharmProjects/mysite/opt/solr/solr-4.10.4/example/solr/collection1/data/index
INFO  - 2020-09-12 12:17:31.089; org.apache.solr.core.SolrDeletionPolicy; SolrDeletionPolicy.onCommit: commits: num=1
	commit{dir=NRTCachingDirectory(MMapDirectory@/home/k_mosin/PycharmProjects/mysite/opt/solr/solr-4.10.4/example/solr/collection1/data/index lockFactory=NativeFSLockFactory@/home/k_mosin/PycharmProjects/mysite/opt/solr/solr-4.10.4/example/solr/collection1/data/index; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_1,generation=1}
INFO  - 2020-09-12 12:17:31.090; org.apache.solr.core.SolrDeletionPolicy; newest commit generation = 1
INFO  - 2020-09-12 12:17:31.095; org.apache.solr.core.SolrCore; created json: solr.JSONResponseWriter
INFO  - 2020-09-12 12:17:31.095; org.apache.solr.core.SolrCore; adding lazy queryResponseWriter: solr.VelocityResponseWriter
INFO  - 2020-09-12 12:17:31.096; org.apache.solr.core.SolrCore; created velocity: solr.VelocityResponseWriter
INFO  - 2020-09-12 12:17:31.100; org.apache.solr.core.SolrCore; created xslt: solr.XSLTResponseWriter
INFO  - 2020-09-12 12:17:31.101; org.apache.solr.response.XSLTResponseWriter; xsltCacheLifetimeSeconds=5
INFO  - 2020-09-12 12:17:31.205; org.apache.solr.core.SolrCore; no updateRequestProcessorChain defined as default, creating implicit default
INFO  - 2020-09-12 12:17:31.214; org.apache.solr.core.RequestHandlers; created /update: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2020-09-12 12:17:31.214; org.apache.solr.core.RequestHandlers; created /update/json: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2020-09-12 12:17:31.214; org.apache.solr.core.RequestHandlers; created /update/csv: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2020-09-12 12:17:31.215; org.apache.solr.core.RequestHandlers; created /update/json/docs: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2020-09-12 12:17:31.220; org.apache.solr.core.RequestHandlers; created /select: solr.SearchHandler
INFO  - 2020-09-12 12:17:31.220; org.apache.solr.core.RequestHandlers; created /query: solr.SearchHandler
INFO  - 2020-09-12 12:17:31.222; org.apache.solr.core.RequestHandlers; created /get: solr.RealTimeGetHandler
INFO  - 2020-09-12 12:17:31.223; org.apache.solr.core.RequestHandlers; created /export: solr.SearchHandler
INFO  - 2020-09-12 12:17:31.223; org.apache.solr.core.RequestHandlers; created /browse: solr.SearchHandler
WARN  - 2020-09-12 12:17:31.225; org.apache.solr.core.RequestHandlers; Multiple requestHandler registered to the same name: /update ignoring: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2020-09-12 12:17:31.225; org.apache.solr.core.RequestHandlers; created /update: solr.UpdateRequestHandler
INFO  - 2020-09-12 12:17:31.225; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.extraction.ExtractingRequestHandler
INFO  - 2020-09-12 12:17:31.226; org.apache.solr.core.RequestHandlers; created /update/extract: solr.extraction.ExtractingRequestHandler
INFO  - 2020-09-12 12:17:31.226; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.FieldAnalysisRequestHandler
INFO  - 2020-09-12 12:17:31.227; org.apache.solr.core.RequestHandlers; created /analysis/field: solr.FieldAnalysisRequestHandler
INFO  - 2020-09-12 12:17:31.227; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.DocumentAnalysisRequestHandler
INFO  - 2020-09-12 12:17:31.227; org.apache.solr.core.RequestHandlers; created /analysis/document: solr.DocumentAnalysisRequestHandler
INFO  - 2020-09-12 12:17:31.229; org.apache.solr.core.RequestHandlers; created /admin/: solr.admin.AdminHandlers
INFO  - 2020-09-12 12:17:31.232; org.apache.solr.core.RequestHandlers; created /admin/ping: solr.PingRequestHandler
INFO  - 2020-09-12 12:17:31.234; org.apache.solr.core.RequestHandlers; created /debug/dump: solr.DumpRequestHandler
INFO  - 2020-09-12 12:17:31.247; org.apache.solr.core.RequestHandlers; created /replication: solr.ReplicationHandler
INFO  - 2020-09-12 12:17:31.247; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2020-09-12 12:17:31.248; org.apache.solr.core.RequestHandlers; created /spell: solr.SearchHandler
INFO  - 2020-09-12 12:17:31.248; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2020-09-12 12:17:31.248; org.apache.solr.core.RequestHandlers; created /tvrh: solr.SearchHandler
INFO  - 2020-09-12 12:17:31.248; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2020-09-12 12:17:31.248; org.apache.solr.core.RequestHandlers; created /terms: solr.SearchHandler
INFO  - 2020-09-12 12:17:31.248; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2020-09-12 12:17:31.249; org.apache.solr.core.RequestHandlers; created /elevate: solr.SearchHandler
INFO  - 2020-09-12 12:17:31.270; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2020-09-12 12:17:31.274; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2020-09-12 12:17:31.275; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2020-09-12 12:17:31.276; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2020-09-12 12:17:31.278; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2020-09-12 12:17:31.302; org.apache.solr.update.CommitTracker; Hard AutoCommit: if uncommited for 15000ms; 
INFO  - 2020-09-12 12:17:31.303; org.apache.solr.update.CommitTracker; Soft AutoCommit: disabled
INFO  - 2020-09-12 12:17:31.313; org.apache.solr.core.SolrDeletionPolicy; SolrDeletionPolicy.onInit: commits: num=1
	commit{dir=NRTCachingDirectory(MMapDirectory@/home/k_mosin/PycharmProjects/mysite/opt/solr/solr-4.10.4/example/solr/collection1/data/index lockFactory=NativeFSLockFactory@/home/k_mosin/PycharmProjects/mysite/opt/solr/solr-4.10.4/example/solr/collection1/data/index; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_1,generation=1}
INFO  - 2020-09-12 12:17:31.314; org.apache.solr.core.SolrDeletionPolicy; newest commit generation = 1
INFO  - 2020-09-12 12:17:31.323; org.apache.solr.search.SolrIndexSearcher; Opening Searcher@55f85c4[collection1] main
INFO  - 2020-09-12 12:17:31.333; org.apache.solr.rest.ManagedResourceStorage$FileStorageIO; File-based storage initialized to use dir: /home/k_mosin/PycharmProjects/mysite/opt/solr/solr-4.10.4/example/solr/collection1/conf
INFO  - 2020-09-12 12:17:31.333; org.apache.solr.rest.RestManager; Initializing RestManager with initArgs: {storageDir=/home/k_mosin/PycharmProjects/mysite/opt/solr/solr-4.10.4/example/solr/collection1/conf}
INFO  - 2020-09-12 12:17:31.335; org.apache.solr.rest.ManagedResourceStorage; Reading _rest_managed.json using file:dir=/home/k_mosin/PycharmProjects/mysite/opt/solr/solr-4.10.4/example/solr/collection1/conf
INFO  - 2020-09-12 12:17:31.350; org.apache.solr.rest.ManagedResourceStorage; Loaded LinkedHashMap at path _rest_managed.json using file:dir=/home/k_mosin/PycharmProjects/mysite/opt/solr/solr-4.10.4/example/solr/collection1/conf
INFO  - 2020-09-12 12:17:31.350; org.apache.solr.rest.ManagedResource; Loaded initArgs {} for /rest/managed
INFO  - 2020-09-12 12:17:31.350; org.apache.solr.rest.RestManager; Initializing 2 registered ManagedResources
INFO  - 2020-09-12 12:17:31.351; org.apache.solr.rest.ManagedResourceStorage; Reading _schema_analysis_stopwords_english.json using file:dir=/home/k_mosin/PycharmProjects/mysite/opt/solr/solr-4.10.4/example/solr/collection1/conf
INFO  - 2020-09-12 12:17:31.353; org.apache.solr.rest.ManagedResourceStorage; Loaded LinkedHashMap at path _schema_analysis_stopwords_english.json using file:dir=/home/k_mosin/PycharmProjects/mysite/opt/solr/solr-4.10.4/example/solr/collection1/conf
INFO  - 2020-09-12 12:17:31.354; org.apache.solr.rest.ManagedResource; Loaded initArgs {ignoreCase=true} for /schema/analysis/stopwords/english
INFO  - 2020-09-12 12:17:31.356; org.apache.solr.rest.schema.analysis.ManagedWordSetResource; Loaded 35 words for /schema/analysis/stopwords/english
